Clients  100
Depots  20
BoundaryPoints  0
Distance [58,7] 40
Distance [58,8] 54
Distance [58,9] 27
Distance [58,10] 30
Distance [58,11] 9
Distance [58,12] 79
Distance [58,13] 48
Distance [58,14] 49
Distance [58,15] 42
Distance [58,16] 21
Distance [58,17] 29
Distance [58,18] 66
Distance [58,19] 70
Distance [58,20] 54
Distance [59,1] 65
Distance [59,2] 57
Distance [59,3] 49
Distance [59,4] 58
Distance [59,5] 22
Distance [59,6] 80
Distance [59,7] 41
Distance [59,8] 45
Distance [59,9] 98
Distance [59,10] 102
Distance [59,11] 64
Distance [59,12] 8
Distance [59,13] 25
Distance [59,14] 25
Distance [59,15] 77
Distance [59,16] 82
Distance [59,17] 50
Distance [59,18] 47
Distance [59,19] 86
Distance [59,20] 53
Distance [60,1] 13
Distance [60,2] 43
Distance [60,3] 72
Distance [60,4] 6
Distance [60,5] 32
Distance [60,6] 56
Distance [60,7] 44
Distance [60,8] 18
Distance [60,9] 54
Distance [60,10] 57
Distance [60,11] 27
Distance [60,12] 60
Distance [60,13] 38
Distance [60,14] 41
Distance [60,15] 69
Distance [60,16] 34
Distance [60,17] 42
Distance [60,18] 71
Distance [60,19] 92
Distance [60,20] 18
Distance [61,1] 54
Distance [61,2] 50
Distance [61,3] 50
Distance [61,4] 47
Distance [61,5] 12
Distance [61,6] 73
Distance [61,7] 36
Distance [61,8] 35
Distance [61,9] 88
Distance [61,10] 91
Distance [61,11] 54
Distance [61,12] 19
Distance [61,13] 19
Distance [61,14] 20
Distance [61,15] 72
Distance [61,16] 71
Distance [61,17] 44
Distance [61,18] 48
Distance [61,19] 85
Distance [61,20] 43
Distance [62,1] 53
Distance [62,2] 14
Distance [62,3] 47
Distance [62,4] 54
Distance [62,5] 67
Distance [62,6] 12
Distance [62,7] 30
Distance [62,8] 69
Distance [62,9] 47
Distance [62,10] 49
Distance [62,11] 29
Distance [62,12] 76
Distance [62,13] 45
Distance [62,14] 45
Distance [62,15] 16
Distance [62,16] 47
Distance [62,17] 20
Distance [62,18] 48
Distance [62,19] 44
Distance [62,20] 72
Distance [63,1] 11
Distance [63,2] 56
Distance [63,3] 88
Distance [63,4] 12
Distance [63,5] 46
Distance [63,6] 64
Distance [63,7] 60
Distance [63,8] 26
Distance [63,9] 51
Distance [63,10] 54
Distance [63,11] 36
Distance [63,12] 76
Distance [63,13] 55
Distance [63,14] 58
Distance [63,15] 80
Distance [63,16] 30
Distance [63,17] 56
Distance [63,18] 88
Distance [63,19] 106
Distance [63,20] 20
Distance [64,1] 58
Distance [64,2] 18
Distance [64,3] 23
Distance [64,4] 55
Distance [64,5] 51
Distance [64,6] 38
Distance [64,7] 9
Distance [64,8] 62
Distance [64,9] 68
Distance [64,10] 71
Distance [64,11] 39
Distance [64,12] 52
Distance [64,13] 26
Distance [64,14] 24
Distance [64,15] 28
Distance [64,16] 62
Distance [64,17] 13
Distance [64,18] 24
Distance [64,19] 42
Distance [64,20] 67
Distance [65,1] 28
Distance [65,2] 17
Distance [65,3] 55
Distance [65,4] 27
Distance [65,5] 46
Distance [65,6] 29
Distance [65,7] 27
Distance [65,8] 43
Distance [65,9] 41
Distance [65,10] 45
Distance [65,11] 7
Distance [65,12] 64
Distance [65,13] 33
Distance [65,14] 34
Distance [65,15] 41
Distance [65,16] 30
Distance [65,17] 19
Distance [65,18] 55
Distance [65,19] 67
Distance [65,20] 45
Distance [66,1] 75
Distance [66,2] 32
Distance [66,3] 45
Distance [66,4] 75
Distance [66,5] 83
Distance [66,6] 27
Distance [66,7] 42
Distance [66,8] 89
Distance [66,9] 64
Distance [66,10] 66
Distance [66,11] 51
Distance [66,12] 86
Distance [66,13] 59
Distance [66,14] 58
Distance [66,15] 6
Distance [66,16] 68
Distance [66,17] 36
Distance [66,18] 47
Distance [66,19] 25
Distance [66,20] 92
Distance [67,1] 38
Distance [67,2] 44
Distance [67,3] 57
Distance [67,4] 31
Distance [67,5] 9
Distance [67,6] 65
Distance [67,7] 35
Distance [67,8] 20
Distance [67,9] 74
Distance [67,10] 78
Distance [67,11] 41
Distance [67,12] 35
Distance [67,13] 20
Distance [67,14] 23
Distance [67,15] 69
Distance [67,16] 56
Distance [67,17] 39
Distance [67,18] 56
Distance [67,19] 87
Distance [67,20] 28
Distance [68,1] 28
Distance [68,2] 49
Distance [68,3] 90
Distance [68,4] 35
Distance [68,5] 72
Distance [68,6] 42
Distance [68,7] 63
Distance [68,8] 58
Distance [68,9] 15
Distance [68,10] 18
Distance [68,11] 28
Distance [68,12] 97
Distance [68,13] 67
Distance [68,14] 69
Distance [68,15] 65
Distance [68,16] 7
Distance [68,17] 53
Distance [68,18] 90
Distance [68,19] 94
Distance [68,20] 54
Distance [69,1] 29
Distance [69,2] 20
Distance [69,3] 60
Distance [69,4] 30
Distance [69,5] 54
Distance [69,6] 24
Distance [69,7] 34
Distance [69,8] 49
Distance [69,9] 33
Distance [69,10] 37
Distance [69,11] 4
Distance [69,12] 73
Distance [69,13] 41
Distance [69,14] 43
Distance [69,15] 41
Distance [69,16] 25
Distance [69,17] 24
Distance [69,18] 61
Distance [69,19] 68
Distance [69,20] 50
Distance [70,1] 38
Distance [70,2] 39
Distance [70,3] 80
Distance [70,4] 43
Distance [70,5] 75
Distance [70,6] 26
Distance [70,7] 56
Distance [70,8] 65
Distance [70,9] 11
Distance [70,10] 14
Distance [70,11] 24
Distance [70,12] 95
Distance [70,13] 64
Distance [70,14] 65
Distance [70,15] 50
Distance [70,16] 19
Distance [70,17] 45
Distance [70,18] 80
Distance [70,19] 79
Distance [70,20] 64
Distance [71,1] 19
Distance [71,2] 29
Distance [71,3] 60
Distance [71,4] 15
Distance [71,5] 35
Distance [71,6] 43
Distance [71,7] 32
Distance [71,8] 29
Distance [71,9] 48
Distance [71,10] 51
Distance [71,11] 16
Distance [71,12] 59
Distance [71,13] 30
Distance [71,14] 33
Distance [71,15] 54
Distance [71,16] 31
Distance [71,17] 28
Distance [71,18] 60
Distance [71,19] 79
Distance [71,20] 31
Distance [72,1] 41
Distance [72,2] 12
Distance [72,3] 39
Distance [72,4] 38
Distance [72,5] 41
Distance [72,6] 34
Distance [72,7] 11
Distance [72,8] 47
Distance [72,9] 57
Distance [72,10] 60
Distance [72,11] 24
Distance [72,12] 52
Distance [72,13] 20
Distance [72,14] 21
Distance [72,15] 36
Distance [72,16] 47
Distance [72,17] 6
Distance [72,18] 39
Distance [72,19] 57
Distance [72,20] 51
Distance [73,1] 58
Distance [73,2] 39
Distance [73,3] 32
Distance [73,4] 52
Distance [73,5] 28
Distance [73,6] 62
Distance [73,7] 21
Distance [73,8] 47
Distance [73,9] 84
Distance [73,10] 87
Distance [73,11] 50
Distance [73,12] 24
Distance [73,13] 9
Distance [73,14] 7
Distance [73,15] 57
Distance [73,16] 71
Distance [73,17] 32
Distance [73,18] 31
Distance [73,19] 67
Distance [73,20] 54
Distance [74,1] 89
Distance [74,2] 72
Distance [74,3] 46
Distance [74,4] 83
Distance [74,5] 48
Distance [74,6] 94
Distance [74,7] 53
Distance [74,8] 71
Distance [74,9] 118
Distance [74,10] 122
Distance [74,11] 84
Distance [74,12] 18
Distance [74,13] 43
Distance [74,14] 41
Distance [74,15] 84
Distance [74,16] 104
Distance [74,17] 64
Distance [74,18] 44
Distance [74,19] 85
Distance [74,20] 79
Distance [75,1] 32
Distance [75,2] 72
Distance [75,3] 98
Distance [75,4] 30
Distance [75,5] 45
Distance [75,6] 84
Distance [75,7] 72
Distance [75,8] 22
Distance [75,9] 73
Distance [75,10] 76
Distance [75,11] 55
Distance [75,12] 75
Distance [75,13] 62
Distance [75,14] 65
Distance [75,15] 98
Distance [75,16] 52
Distance [75,17] 71
Distance [75,18] 97
Distance [75,19] 122
Distance [75,20] 14
Distance [76,1] 35
Distance [76,2] 74
Distance [76,3] 98
Distance [76,4] 32
Distance [76,5] 42
Distance [76,6] 86
Distance [76,7] 72
Distance [76,8] 20
Distance [76,9] 77
Distance [76,10] 80
Distance [76,11] 58
Distance [76,12] 72
Distance [76,13] 61
Distance [76,14] 64
Distance [76,15] 100
Distance [76,16] 56
Distance [76,17] 72
Distance [76,18] 97
Distance [76,19] 123
Distance [76,20] 14
Distance [77,1] 69
Distance [77,2] 36
Distance [77,3] 13
Distance [77,4] 64
Distance [77,5] 47
Distance [77,6] 57
Distance [77,7] 18
Distance [77,8] 64
Distance [77,9] 86
Distance [77,10] 89
Distance [77,11] 54
Distance [77,12] 38
Distance [77,13] 23
Distance [77,14] 20
Distance [77,15] 44
Distance [77,16] 77
Distance [77,17] 29
Distance [77,18] 12
Distance [77,19] 49
Distance [77,20] 71
Distance [78,1] 57
Distance [78,2] 34
Distance [78,3] 70
Distance [78,4] 60
Distance [78,5] 84
Distance [78,6] 11
Distance [78,7] 52
Distance [78,8] 80
Distance [78,9] 31
Distance [78,10] 32
Distance [78,11] 35
Distance [78,12] 97
Distance [78,13] 66
Distance [78,14] 66
Distance [78,15] 32
Distance [78,16] 42
Distance [78,17] 41
Distance [78,18] 71
Distance [78,19] 59
Distance [78,20] 81
Distance [79,1] 19
Distance [79,2] 63
Distance [79,3] 94
Distance [79,4] 19
Distance [79,5] 48
Distance [79,6] 72
Distance [79,7] 66
Distance [79,8] 25
Distance [79,9] 58
Distance [79,10] 61
Distance [79,11] 44
Distance [79,12] 78
Distance [79,13] 59
Distance [79,14] 62
Distance [79,15] 88
Distance [79,16] 37
Distance [79,17] 63
Distance [79,18] 93
Distance [79,19] 113
Distance [79,20] 18
Distance [80,1] 36
Distance [80,2] 43
Distance [80,3] 84
Distance [80,4] 41
Distance [80,5] 75
Distance [80,6] 32
Distance [80,7] 59
Distance [80,8] 64
Distance [80,9] 8
Distance [80,10] 12
Distance [80,11] 26
Distance [80,12] 97
Distance [80,13] 66
Distance [80,14] 68
Distance [80,15] 55
Distance [80,16] 15
Distance [80,17] 48
Distance [80,18] 85
Distance [80,19] 84
Distance [80,20] 62
Distance [81,1] 72
Distance [81,2] 27
Distance [81,3] 31
Distance [81,4] 71
Distance [81,5] 73
Distance [81,6] 33
Distance [81,7] 31
Distance [81,8] 82
Distance [81,9] 70
Distance [81,10] 72
Distance [81,11] 49
Distance [81,12] 73
Distance [81,13] 48
Distance [81,14] 46
Distance [81,15] 11
Distance [81,16] 70
Distance [81,17] 28
Distance [81,18] 32
Distance [81,19] 23
Distance [81,20] 86
Distance [82,1] 6
Distance [82,2] 50
Distance [82,3] 82
Distance [82,4] 7
Distance [82,5] 44
Distance [82,6] 58
Distance [82,7] 55
Distance [82,8] 25
Distance [82,9] 48
Distance [82,10] 51
Distance [82,11] 30
Distance [82,12] 73
Distance [82,13] 50
Distance [82,14] 53
Distance [82,15] 75
Distance [82,16] 27
Distance [82,17] 50
Distance [82,18] 82
Distance [82,19] 100
Distance [82,20] 20
Distance [83,1] 33
Distance [83,2] 32
Distance [83,3] 74
Distance [83,4] 38
Distance [83,5] 68
Distance [83,6] 23
Distance [83,7] 49
Distance [83,8] 60
Distance [83,9] 18
Distance [83,10] 21
Distance [83,11] 17
Distance [83,12] 88
Distance [83,13] 57
Distance [83,14] 58
Distance [83,15] 46
Distance [83,16] 18
Distance [83,17] 38
Distance [83,18] 74
Distance [83,19] 75
Distance [83,20] 59
Distance [84,1] 51
Distance [84,2] 56
Distance [84,3] 97
Distance [84,4] 57
Distance [84,5] 92
Distance [84,6] 39
Distance [84,7] 74
Distance [84,8] 81
Distance [84,9] 9
Distance [84,10] 6
Distance [84,11] 42
Distance [84,12] 114
Distance [84,13] 82
Distance [84,14] 84
Distance [84,15] 63
Distance [84,16] 30
Distance [84,17] 62
Distance [84,18] 97
Distance [84,19] 91
Distance [84,20] 78
Distance [85,1] 59
Distance [85,2] 14
Distance [85,3] 33
Distance [85,4] 58
Distance [85,5] 63
Distance [85,6] 25
Distance [85,7] 22
Distance [85,8] 69
Distance [85,9] 60
Distance [85,10] 62
Distance [85,11] 36
Distance [85,12] 67
Distance [85,13] 39
Distance [85,14] 38
Distance [85,15] 14
Distance [85,16] 57
Distance [85,17] 16
Distance [85,18] 35
Distance [85,19] 36
Distance [85,20] 73
Distance [86,1] 50
Distance [86,2] 49
Distance [86,3] 90
Distance [86,4] 55
Distance [86,5] 88
Distance [86,6] 32
Distance [86,7] 67
Distance [86,8] 78
Distance [86,9] 9
Distance [86,10] 8
Distance [86,11] 37
Distance [86,12] 108
Distance [86,13] 77
Distance [86,14] 78
Distance [86,15] 56
Distance [86,16] 29
Distance [86,17] 56
Distance [86,18] 91
Distance [86,19] 84
Distance [86,20] 76
Distance [87,1] 86
Distance [87,2] 41
Distance [87,3] 41
Distance [87,4] 85
Distance [87,5] 88
Distance [87,6] 40
Distance [87,7] 46
Distance [87,8] 97
Distance [87,9] 77
Distance [87,10] 79
Distance [87,11] 62
Distance [87,12] 87
Distance [87,13] 63
Distance [87,14] 61
Distance [87,15] 17
Distance [87,16] 81
Distance [87,17] 43
Distance [87,18] 43
Distance [87,19] 12
Distance [87,20] 101
Distance [88,1] 74
Distance [88,2] 55
Distance [88,3] 34
Distance [88,4] 68
Distance [88,5] 36
Distance [88,6] 78
Distance [88,7] 36
Distance [88,8] 59
Distance [88,9] 101
Distance [88,10] 105
Distance [88,11] 67
Distance [88,12] 14
Distance [88,13] 26
Distance [88,14] 25
Distance [88,15] 69
Distance [88,16] 88
Distance [88,17] 48
Distance [88,18] 32
Distance [88,19] 73
Distance [88,20] 67
Distance [89,1] 55
Distance [89,2] 43
Distance [89,3] 40
Distance [89,4] 48
Distance [89,5] 20
Distance [89,6] 66
Distance [89,7] 27
Distance [89,8] 41
Distance [89,9] 84
Distance [89,10] 88
Distance [89,11] 50
Distance [89,12] 21
Distance [89,13] 10
Distance [89,14] 11
Distance [89,15] 63
Distance [89,16] 69
Distance [89,17] 36
Distance [89,18] 38
Distance [89,19] 74
Distance [89,20] 48
Distance [90,1] 73
Distance [90,2] 29
Distance [90,3] 19
Distance [90,4] 71
Distance [90,5] 66
Distance [90,6] 42
Distance [90,7] 25
Distance [90,8] 78
Distance [90,9] 77
Distance [90,10] 79
Distance [90,11] 51
Distance [90,12] 63
Distance [90,13] 41
Distance [90,14] 38
Distance [90,15] 22
Distance [90,16] 74
Distance [90,17] 27
Distance [90,18] 21
Distance [90,19] 26
Distance [90,20] 83
Distance [91,1] 3
Distance [91,2] 44
Distance [91,3] 80
Distance [91,4] 10
Distance [91,5] 48
Distance [91,6] 50
Distance [91,7] 52
Distance [91,8] 32
Distance [91,9] 39
Distance [91,10] 42
Distance [91,11] 23
Distance [91,12] 76
Distance [91,13] 50
Distance [91,14] 52
Distance [91,15] 68
Distance [91,16] 18
Distance [91,17] 46
Distance [91,18] 80
Distance [91,19] 95
Distance [91,20] 29
Distance [92,1] 62
Distance [92,2] 27
Distance [92,3] 17
Distance [92,4] 58
Distance [92,5] 46
Distance [92,6] 48
Distance [92,7] 11
Distance [92,8] 61
Distance [92,9] 77
Distance [92,10] 80
Distance [92,11] 46
Distance [92,12] 43
Distance [92,13] 21
Distance [92,14] 18
Distance [92,15] 38
Distance [92,16] 69
Distance [92,17] 21
Distance [92,18] 17
Distance [92,19] 47
Distance [92,20] 67
Distance [93,1] 57
Distance [93,2] 61
Distance [93,3] 61
Distance [93,4] 50
Distance [93,5] 11
Distance [93,6] 83
Distance [93,7] 47
Distance [93,8] 32
Distance [93,9] 94
Distance [93,10] 98
Distance [93,11] 61
Distance [93,12] 22
Distance [93,13] 30
Distance [93,14] 32
Distance [93,15] 83
Distance [93,16] 76
Distance [93,17] 55
Distance [93,18] 60
Distance [93,19] 96
Distance [93,20] 40
Distance [94,1] 76
Distance [94,2] 47
Distance [94,3] 19
Distance [94,4] 71
Distance [94,5] 47
Distance [94,6] 69
Distance [94,7] 29
Distance [94,8] 67
Distance [94,9] 97
Distance [94,10] 100
Distance [94,11] 64
Distance [94,12] 30
Distance [94,13] 28
Distance [94,14] 25
Distance [94,15] 56
Distance [94,16] 86
Distance [94,17] 40
Distance [94,18] 17
Distance [94,19] 58
Distance [94,20] 74
Distance [95,1] 44
Distance [95,2] 49
Distance [95,3] 90
Distance [95,4] 50
Distance [95,5] 84
Distance [95,6] 35
Distance [95,7] 66
Distance [95,8] 73
Distance [95,9] 2
Distance [95,10] 4
Distance [95,11] 34
Distance [95,12] 106
Distance [95,13] 74
Distance [95,14] 76
Distance [95,15] 59
Distance [95,16] 23
Distance [95,17] 55
Distance [95,18] 91
Distance [95,19] 87
Distance [95,20] 70
Distance [96,1] 37
Distance [96,2] 65
Distance [96,3] 84
Distance [96,4] 31
Distance [96,5] 25
Distance [96,6] 82
Distance [96,7] 60
Distance [96,8] 9
Distance [96,9] 80
Distance [96,10] 83
Distance [96,11] 54
Distance [96,12] 55
Distance [96,13] 47
Distance [96,14] 50
Distance [96,15] 91
Distance [96,16] 59
Distance [96,17] 62
Distance [96,18] 82
Distance [96,19] 112
Distance [96,20] 11
Distance [97,1] 56
Distance [97,2] 45
Distance [97,3] 42
Distance [97,4] 49
Distance [97,5] 19
Distance [97,6] 68
Distance [97,7] 30
Distance [97,8] 40
Distance [97,9] 87
Distance [97,10] 90
Distance [97,11] 52
Distance [97,12] 19
Distance [97,13] 13
Distance [97,14] 14
Distance [97,15] 66
Distance [97,16] 71
Distance [97,17] 39
Distance [97,18] 41
Distance [97,19] 77
Distance [97,20] 48
Distance [98,1] 77
Distance [98,2] 52
Distance [98,3] 26
Distance [98,4] 71
Distance [98,5] 44
Distance [98,6] 74
Distance [98,7] 33
Distance [98,8] 65
Distance [98,9] 100
Distance [98,10] 104
Distance [98,11] 67
Distance [98,12] 23
Distance [98,13] 28
Distance [98,14] 25
Distance [98,15] 63
Distance [98,16] 89
Distance [98,17] 45
Distance [98,18] 24
Distance [98,19] 65
Distance [98,20] 72
Distance [99,1] 59
Distance [99,2] 22
Distance [99,3] 21
Distance [99,4] 55
Distance [99,5] 47
Distance [99,6] 43
Distance [99,7] 7
Distance [99,8] 59
Distance [99,9] 72
Distance [99,10] 76
Distance [99,11] 41
Distance [99,12] 46
Distance [99,13] 21
Distance [99,14] 19
Distance [99,15] 34
Distance [99,16] 64
Distance [99,17] 16
Distance [99,18] 21
Distance [99,19] 46
Distance [99,20] 65
Distance [100,1] 33
Distance [100,2] 50
Distance [100,3] 67
Distance [100,4] 26
Distance [100,5] 13
Distance [100,6] 69
Distance [100,7] 44
Distance [100,8] 10
Distance [100,9] 73
Distance [100,10] 76
Distance [100,11] 43
Distance [100,12] 44
Distance [100,13] 31
Distance [100,14] 34
Distance [100,15] 76
Distance [100,16] 53
Distance [100,17] 46
Distance [100,18] 66
Distance [100,19] 96
Distance [100,20] 18
Cost [1,1] 50
Cost [1,2] 44
Cost [1,3] 134
Cost [1,4] 63
Cost [1,5] 111
Cost [1,6] 43
Cost [1,7] 66
Cost [1,8] 94
Cost [1,9] 56
Cost [1,10] 59
Cost [1,11] 11
Cost [1,12] 151
Cost [1,13] 83
Cost [1,14] 89
Cost [1,15] 75
Cost [1,16] 43
Cost [1,17] 55
Cost [1,18] 133
Cost [1,19] 125
Cost [1,20] 100
Cost [2,1] 103
Cost [2,2] 40
Cost [2,3] 10
Cost [2,4] 90
Cost [2,5] 82
Cost [2,6] 65
Cost [2,7] 29
Cost [2,8] 87
Cost [2,9] 103
Cost [2,10] 117
Cost [2,11] 67
Cost [2,12] 68
Cost [2,13] 41
Cost [2,14] 41
Cost [2,15] 42
Cost [2,16] 109
Cost [2,17] 37
Cost [2,18] 12
Cost [2,19] 48
Cost [2,20] 104
Cost [3,1] 39
Cost [3,2] 28
Cost [3,3] 30
Cost [3,4] 41
Cost [3,5] 20
Cost [3,6] 45
Cost [3,7] 16
Cost [3,8] 35
Cost [3,9] 66
Cost [3,10] 74
Cost [3,11] 32
Cost [3,12] 28
Cost [3,13] 4
Cost [3,14] 4
Cost [3,15] 43
Cost [3,16] 49
Cost [3,17] 22
Cost [3,18] 30
Cost [3,19] 65
Cost [3,20] 37
Cost [4,1] 91
Cost [4,2] 60
Cost [4,3] 32
Cost [4,4] 73
Cost [4,5] 46
Cost [4,6] 78
Cost [4,7] 39
Cost [4,8] 68
Cost [4,9] 111
Cost [4,10] 126
Cost [4,11] 71
Cost [4,12] 25
Cost [4,13] 28
Cost [4,14] 27
Cost [4,15] 74
Cost [4,16] 95
Cost [4,17] 50
Cost [4,18] 27
Cost [4,19] 75
Cost [4,20] 86
Cost [5,1] 93
Cost [5,2] 29
Cost [5,3] 123
Cost [5,4] 100
Cost [5,5] 131
Cost [5,6] 33
Cost [5,7] 65
Cost [5,8] 155
Cost [5,9] 94
Cost [5,10] 107
Cost [5,11] 45
Cost [5,12] 187
Cost [5,13] 106
Cost [5,14] 111
Cost [5,15] 63
Cost [5,16] 93
Cost [5,17] 45
Cost [5,18] 115
Cost [5,19] 135
Cost [5,20] 162
Cost [6,1] 7
Cost [6,2] 19
Cost [6,3] 34
Cost [6,4] 5
Cost [6,5] 15
Cost [6,6] 23
Cost [6,7] 21
Cost [6,8] 9
Cost [6,9] 24
Cost [6,10] 29
Cost [6,11] 11
Cost [6,12] 29
Cost [6,13] 15
Cost [6,14] 18
Cost [6,15] 31
Cost [6,16] 17
Cost [6,17] 17
Cost [6,18] 35
Cost [6,19] 46
Cost [6,20] 11
Cost [7,1] 211
Cost [7,2] 97
Cost [7,3] 36
Cost [7,4] 190
Cost [7,5] 183
Cost [7,6] 119
Cost [7,7] 76
Cost [7,8] 191
Cost [7,9] 196
Cost [7,10] 205
Cost [7,11] 155
Cost [7,12] 146
Cost [7,13] 106
Cost [7,14] 102
Cost [7,15] 60
Cost [7,16] 189
Cost [7,17] 88
Cost [7,18] 44
Cost [7,19] 51
Cost [7,20] 201
Cost [8,1] 113
Cost [8,2] 151
Cost [8,3] 154
Cost [8,4] 99
Cost [8,5] 22
Cost [8,6] 209
Cost [8,7] 130
Cost [8,8] 54
Cost [8,9] 195
Cost [8,10] 206
Cost [8,11] 135
Cost [8,12] 82
Cost [8,13] 81
Cost [8,14] 87
Cost [8,15] 189
Cost [8,16] 163
Cost [8,17] 119
Cost [8,18] 150
Cost [8,19] 224
Cost [8,20] 75
Cost [9,1] 194
Cost [9,2] 101
Cost [9,3] 66
Cost [9,4] 198
Cost [9,5] 179
Cost [9,6] 111
Cost [9,7] 97
Cost [9,8] 205
Cost [9,9] 207
Cost [9,10] 197
Cost [9,11] 162
Cost [9,12] 167
Cost [9,13] 133
Cost [9,14] 121
Cost [9,15] 56
Cost [9,16] 217
Cost [9,17] 103
Cost [9,18] 82
Cost [9,19] 17
Cost [9,20] 228
Cost [10,1] 183
Cost [10,2] 139
Cost [10,3] 129
Cost [10,4] 155
Cost [10,5] 72
Cost [10,6] 207
Cost [10,7] 102
Cost [10,8] 122
Cost [10,9] 257
Cost [10,10] 238
Cost [10,11] 184
Cost [10,12] 11
Cost [10,13] 71
Cost [10,14] 74
Cost [10,15] 211
Cost [10,16] 207
Cost [10,17] 126
Cost [10,18] 116
Cost [10,19] 213
Cost [10,20] 150
Cost [11,1] 100
Cost [11,2] 70
Cost [11,3] 17
Cost [11,4] 110
Cost [11,5] 72
Cost [11,6] 83
Cost [11,7] 47
Cost [11,8] 105
Cost [11,9] 139
Cost [11,10] 138
Cost [11,11] 96
Cost [11,12] 51
Cost [11,13] 45
Cost [11,14] 44
Cost [11,15] 65
Cost [11,16] 113
Cost [11,17] 60
Cost [11,18] 15
Cost [11,19] 67
Cost [11,20] 101
Cost [12,1] 61
Cost [12,2] 74
Cost [12,3] 71
Cost [12,4] 58
Cost [12,5] 15
Cost [12,6] 88
Cost [12,7] 51
Cost [12,8] 41
Cost [12,9] 101
Cost [12,10] 105
Cost [12,11] 76
Cost [12,12] 19
Cost [12,13] 31
Cost [12,14] 37
Cost [12,15] 102
Cost [12,16] 97
Cost [12,17] 58
Cost [12,18] 70
Cost [12,19] 98
Cost [12,20] 45
Cost [13,1] 60
Cost [13,2] 18
Cost [13,3] 27
Cost [13,4] 58
Cost [13,5] 52
Cost [13,6] 44
Cost [13,7] 4
Cost [13,8] 58
Cost [13,9] 69
Cost [13,10] 69
Cost [13,11] 42
Cost [13,12] 54
Cost [13,13] 22
Cost [13,14] 20
Cost [13,15] 32
Cost [13,16] 66
Cost [13,17] 10
Cost [13,18] 25
Cost [13,19] 50
Cost [13,20] 68
Cost [14,1] 76
Cost [14,2] 56
Cost [14,3] 104
Cost [14,4] 70
Cost [14,5] 126
Cost [14,6] 26
Cost [14,7] 79
Cost [14,8] 118
Cost [14,9] 29
Cost [14,10] 36
Cost [14,11] 42
Cost [14,12] 159
Cost [14,13] 101
Cost [14,14] 95
Cost [14,15] 61
Cost [14,16] 50
Cost [14,17] 66
Cost [14,18] 103
Cost [14,19] 93
Cost [14,20] 112
Cost [15,1] 45
Cost [15,2] 29
Cost [15,3] 27
Cost [15,4] 41
Cost [15,5] 16
Cost [15,6] 46
Cost [15,7] 19
Cost [15,8] 32
Cost [15,9] 60
Cost [15,10] 68
Cost [15,11] 39
Cost [15,12] 12
Cost [15,13] 9
Cost [15,14] 9
Cost [15,15] 47
Cost [15,16] 55
Cost [15,17] 28
Cost [15,18] 22
Cost [15,19] 52
Cost [15,20] 36
Cost [16,1] 103
Cost [16,2] 70
Cost [16,3] 75
Cost [16,4] 92
Cost [16,5] 49
Cost [16,6] 121
Cost [16,7] 37
Cost [16,8] 78
Cost [16,9] 150
Cost [16,10] 169
Cost [16,11] 74
Cost [16,12] 60
Cost [16,13] 10
Cost [16,14] 10
Cost [16,15] 114
Cost [16,16] 130
Cost [16,17] 56
Cost [16,18] 78
Cost [16,19] 124
Cost [16,20] 98
Cost [17,1] 24
Cost [17,2] 116
Cost [17,3] 163
Cost [17,4] 27
Cost [17,5] 89
Cost [17,6] 111
Cost [17,7] 124
Cost [17,8] 45
Cost [17,9] 89
Cost [17,10] 92
Cost [17,11] 71
Cost [17,12] 149
Cost [17,13] 96
Cost [17,14] 104
Cost [17,15] 154
Cost [17,16] 64
Cost [17,17] 105
Cost [17,18] 178
Cost [17,19] 192
Cost [17,20] 31
Cost [18,1] 17
Cost [18,2] 18
Cost [18,3] 41
Cost [18,4] 16
Cost [18,5] 28
Cost [18,6] 35
Cost [18,7] 20
Cost [18,8] 22
Cost [18,9] 40
Cost [18,10] 43
Cost [18,11] 12
Cost [18,12] 48
Cost [18,13] 20
Cost [18,14] 24
Cost [18,15] 42
Cost [18,16] 29
Cost [18,17] 19
Cost [18,18] 44
Cost [18,19] 63
Cost [18,20] 25
Cost [19,1] 6
Cost [19,2] 47
Cost [19,3] 96
Cost [19,4] 9
Cost [19,5] 50
Cost [19,6] 63
Cost [19,7] 59
Cost [19,8] 35
Cost [19,9] 51
Cost [19,10] 56
Cost [19,11] 21
Cost [19,12] 80
Cost [19,13] 57
Cost [19,14] 61
Cost [19,15] 82
Cost [19,16] 27
Cost [19,17] 51
Cost [19,18] 100
Cost [19,19] 101
Cost [19,20] 39
Cost [20,1] 42
Cost [20,2] 15
Cost [20,3] 16
Cost [20,4] 48
Cost [20,5] 44
Cost [20,6] 26
Cost [20,7] 13
Cost [20,8] 47
Cost [20,9] 55
Cost [20,10] 57
Cost [20,11] 30
Cost [20,12] 48
Cost [20,13] 25
Cost [20,14] 22
Cost [20,15] 15
Cost [20,16] 49
Cost [20,17] 12
Cost [20,18] 16
Cost [20,19] 24
Cost [20,20] 59
Cost [21,1] 156
Cost [21,2] 78
Cost [21,3] 33
Cost [21,4] 143
Cost [21,5] 152
Cost [21,6] 91
Cost [21,7] 72
Cost [21,8] 179
Cost [21,9] 153
Cost [21,10] 181
Cost [21,11] 122
Cost [21,12] 120
Cost [21,13] 94
Cost [21,14] 94
Cost [21,15] 52
Cost [21,16] 156
